Регион,Рейтинг,Заявок,Тип организации,Название,Описание,Аудитория,Веб-сайт/VK,Статус
Москва,1,962,Проектный офис ПФКИ,ПФКИ Москва,Площадка консультаций и методологической помощи при подготовке к грантовому конкурсу,Авторы творческих проектов,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/project-offices,Активен
Москва,1,962,Агентство креативных индустрий,Агентство креативных индустрий Moscow,Мост между творческим бизнесом и органами власти. Информация о финансовой поддержке и аналитике,Представители творческого бизнеса,https://createdin.moscow/,Активен
Москва,1,962,Ресурсный центр НКО,Благотворительные организации,Поддержка социальных проектов и инициатив,НКО Москвы,https://vk.com/akimoscow,Активен
Москва,1,962,Ассоциация предпринимателей,Ассоциация женщин Москвы,Объединение женщин-предпринимателей (включая Татьяну Гридину),Женщины-предпринимательницы,Контакты уточнить,Активна
Омск,2,544,Проектный офис ПФКИ,ПФКИ Омск,Помощь при подготовке заявок на грантовый конкурс,Творческие команды области,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Омск,2,544,Агентство развития,Агентство развития креативных индустрий Омска,Поддержка творческих проектов,Креативные предприниматели,https://vk.com/creative_rb,Активно
Омск,2,544,Ресурсный центр,Ресурсный центр НКО Омска,Поддержка гражданских инициатив и социальных проектов,НКО региона,Уточнить,Активен
Башкортостан,3,409,Проектный офис ПФКИ,ПФКИ Башкортостан,Консультационная помощь и обучение проектированию,Творческие инициативы,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Башкортостан,3,409,Бизнес-шериф,Бизнес-шерифы Башкортостана,Система поддержки малого бизнеса на местах; помощь в грантах и субсидиях,Предприниматели/творческие организации,https://biznestur.bashkortostan.ru/documents/other/270544/,Активна сеть
Башкортостан,3,409,Агентство развития МСП,Агентство развития МСП / "Мой бизнес",Консультирование и обучение предпринимателей; программы поддержки,Малое и среднее предпринимательство,https://cmbrb.ru/,Активно
Башкортостан,3,409,Ассоциация предпринимателей,Ассоциация предпринимателей Башкортостана (АПРБ),Продвижение предпринимательства и экономических инициатив,Предприниматели всех направлений,https://asprb.ru/,Активна
Башкортостан,3,409,Фонд развития МСП,Фонд развития и поддержки малого бизнеса,Финансовая и консультационная поддержка,Предприниматели,https://fondmb.ru/,Активен
Белгородская область,4,407,Проектный офис ПФКИ,ПФКИ Белгородская область,Консультирование творческих команд,Авторы проектов культуры,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Белгородская область,4,407,Ресурсный центр НКО,Портал поддержки НКО Белгородской области,Координация грантов и поддержки,НКО развития творчества,https://belnko.ru/,Активен
Белгородская область,4,407,Региональная поддержка,Министерство культуры Белгородской области,Гранты в области культуры; ежеквартальные конкурсы,НКО в сфере культуры/образования,https://belgorod-r31.gosweb.gosuslugi.ru/,Активно
Нижегородская область,5,354,Проектный офис ПФКИ,ПФКИ Нижегородская область,Площадка обучения и консультирования по ПФКИ,Творческие команды,https://vk.com/pfcinnov,Активен
Нижегородская область,5,354,Агентство развития,Агентство развития культуры Нижегородской области,Поддержка культурных инициатив,Творческие проекты,Уточнить,Активно
Республика Татарстан,6,337,Проектный офис ПФКИ,ПФКИ Татарстан,Консультирование и поддержка,Творческие инициативы,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Республика Татарстан,6,337,Ресурсный центр культуры,Таткультресурсцентр,Поддержка инноваций и развития в культуре; гранты ПФКИ,Деятели культуры и креативных индустрий,https://tatcultresurs.ru/grants,Активен
Республика Татарстан,6,337,Министерство экономики,Поддержка МСП творческих отраслей,Гранты на творческие и культурные проекты; народные промыслы,МСП в сфере творчества,https://mincult.tatarstan.ru/,Активно
Санкт-Петербург,7,292,Проектный офис ПФКИ,ПФКИ Санкт-Петербург,Консультирование и методологическая помощь,Творческие команды СПб,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Санкт-Петербург,7,292,Ресурсный центр НКО,Ресурсный центр НКО СПб,Круглый стол - координационная платформа для НКО,НКО Санкт-Петербурга,https://vk.com/spbks,Активен
Санкт-Петербург,7,292,Поддержка НКО,Комитет по развитию НКО СПб,Государственные гранты для общественных объединений,НКО и социальные инициативы,https://www.gov.spb.ru/gov/otrasl/kpmp/,Активно
Кемеровская область,8,231,Проектный офис ПФКИ,ПФКИ Кемеровская область,Консультирование по грантам ПФКИ,Творческие команды,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Кемеровская область,8,231,Поддержка НКО,Департамент социальной политики Кемеровской области,Конкурсы для НКО и творческих организаций,НКО в сфере культуры,https://kemerovo.ru/obshchestvo/,Активно
Удмуртская Республика,9,231,Проектный офис ПФКИ,ПФКИ Удмуртия,Консультирование творческих проектов,Авторы проектов культуры,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Удмуртская Республика,9,231,Агентство развития МСП,Корпорация развития Удмуртской Республики,Гранты на развитие бизнеса; программы для молодых и социальных предпринимателей,Предприниматели творческих направлений,https://madeinudmurtia.ru/,Активно
Удмуртская Республика,9,231,Центр поддержки,Центр поддержки предпринимательства Удмуртии,Консультирование и поддержка бизнеса (включая творчество),МСП и стартапы,https://www.cpp.udbiz.ru/,Активен
Республика Саха (Якутия),10,213,Проектный офис ПФКИ,ПФКИ Якутия,Консультирование по грантам ПФКИ,Творческие команды Якутии,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Республика Саха (Якутия),10,213,Министерство культуры,Министерство культуры и духовного развития РС(Я),Гранты и субсидии на культурные проекты,Учреждения и организации культуры,https://minkult.sakha.gov.ru/,Активно
Республика Саха (Якутия),10,213,Гранты Главы,Целевой фонд будущих поколений РС(Я),Гранты на культурные и образовательные проекты,Таланты в науке/искусстве/спорте,https://grants.yakutia.click/,Активен
Республика Саха (Якутия),10,213,Кино-фонд,Фонд кино и анимации РС(Я) (планируется),Поддержка кинопроизводства и анимации,Кинематографисты и аниматоры,В разработке,Планируется
